,prediction_id,truth_id,IoU,match
1,1,0,0.0,False
0,0,1,0.4960796242028029,True
2,2,2,0.041606663914964336,False
6,6,3,0.38475562615044334,True
3,3,4,0.24560988673202752,False
4,4,5,0.12245399507291134,False
2,2,0,0.0,False
1,1,1,0.0,False
6,6,2,0.6072238018284625,True
3,3,3,0.09052163686852938,False
8,8,4,0.663021604593475,True
0,0,5,0.0,False
4,4,6,0.16657021093528135,False
7,7,0,0.39287496698831414,True
13,13,1,0.6613174157411796,True
2,2,2,0.4642942450594122,True
11,11,3,0.0,False
5,5,4,0.0,False
9,9,5,0.0,False
4,4,6,0.581222229359611,True
23,23,7,0.3468520995432287,True
1,1,8,0.6051929297960272,True
6,6,9,0.0,False
21,21,10,0.6161159970163252,True
8,8,11,0.41239940792952423,True
3,3,12,0.6171847166610077,True
10,10,13,0.0,False
16,16,14,0.5083011601627399,True
18,18,15,0.6918667966205392,True
12,12,16,0.46479923570721815,True
0,0,17,0.7632125405630168,True
14,14,18,0.0,False
8,8,0,0.0,False
10,10,1,0.6801659794174664,True
9,9,2,0.0,False
13,13,3,0.43125817207689443,True
16,16,4,0.6201420623664338,True
3,3,5,0.6858630910029841,True
21,21,6,0.5657051980020581,True
2,2,7,0.7402715862512557,True
7,7,8,0.4640484789677372,True
1,1,9,0.33702739979261437,True
28,28,10,0.3653450613485263,True
0,0,11,0.6646315879494178,True
4,4,12,0.6947677713581867,True
5,5,13,0.5372844917560219,True
29,29,14,0.5044069271930598,True
37,37,15,0.42881274671811476,True
6,6,16,0.4319276386372381,True
11,11,17,0.7410651846795417,True
15,15,18,0.4704795854524209,True
14,14,19,0.0,False
31,31,20,0.052689715721310114,False
25,25,21,0.029383710815000207,False
17,17,22,0.0,False
18,18,23,0.0,False
12,12,24,0.31758522072612444,True
0,0,0,0.0,False
1,1,1,0.46541048641443383,True
44,44,0,0.12571672640625553,False
27,27,1,0.22275422304572437,False
16,16,2,0.026216082651679937,False
13,13,3,0.0,False
0,0,4,0.0,False
22,22,5,0.5825916622119099,True
21,21,6,0.5009913881614347,True
3,3,7,0.0,False
15,15,8,0.0,False
1,1,9,0.6549394302915037,True
17,17,10,0.5303552716889842,True
41,41,11,0.3791348127009155,True
14,14,12,0.647891755655343,True
5,5,13,0.0,False
12,12,14,0.01959050409551787,False
8,8,15,0.2531278088134094,True
25,25,16,0.6835356352072816,True
38,38,17,0.301897174650557,True
11,11,18,0.15908394206413695,False
18,18,19,0.02444084990143959,False
19,19,20,0.28329729304604584,True
10,10,21,0.0,False
26,26,22,0.6897647319206325,True
4,4,23,0.3329367654552858,True
7,7,24,0.5343375537650504,True
29,29,25,0.6567400840737668,True
33,33,26,0.18718484030191015,False
20,20,27,0.0,False
39,39,28,0.32481901728230067,True
6,6,29,0.3456217542150431,True
2,2,30,0.5127346240244174,True
