,test_set,Recall,Precision,Model,Annotations,Iteration
0,USGS,0.6564102564102564,0.2891344190563239,Zero Shot,,
0,USGS,1.0,0.8184045584045585,Fine Tune,,
0,USGS,0.9846153846153847,0.6559958415427165,Min Annotation,1000.0,0.0
0,USGS,0.9846153846153847,0.6475118460213033,Min Annotation,1000.0,1.0
0,USGS,0.9846153846153847,0.6618498204205925,Min Annotation,1000.0,2.0
0,USGS,1.0,0.64123530315838,Min Annotation,5000.0,0.0
0,USGS,1.0,0.6442252192252192,Min Annotation,5000.0,1.0
0,USGS,0.9948717948717949,0.6334516571629973,Min Annotation,5000.0,2.0
0,USGS,0.9948717948717949,0.747964106340395,Min Annotation,10000.0,0.0
0,USGS,0.9948717948717949,0.7508359767380385,Min Annotation,10000.0,1.0
0,USGS,0.9948717948717949,0.7439447150787356,Min Annotation,10000.0,2.0
0,USGS,1.0,0.8035327635327635,Min Annotation,20000.0,0.0
0,USGS,1.0,0.79987012987013,Min Annotation,20000.0,1.0
0,USGS,1.0,0.8084171384171384,Min Annotation,20000.0,2.0
0,USGS,1.0,0.7932461982461981,Min Annotation,25000.0,0.0
0,USGS,1.0,0.806963776963777,Min Annotation,25000.0,1.0
0,USGS,1.0,0.8518722018722017,Min Annotation,25000.0,2.0
0,USGS,0.0,0.0,RandomWeight,1000.0,0.0
0,USGS,0.0,0.0,RandomWeight,1000.0,1.0
0,USGS,0.0,0.0,RandomWeight,1000.0,2.0
0,USGS,0.9948717948717949,0.7579365079365079,RandomWeight,5000.0,0.0
0,USGS,0.982051282051282,0.8351468048359241,RandomWeight,5000.0,1.0
0,USGS,0.9948717948717949,0.8334192439862542,RandomWeight,5000.0,2.0
0,USGS,0.9948717948717949,0.8563696612665685,RandomWeight,10000.0,0.0
0,USGS,1.0,0.8567643467643469,RandomWeight,10000.0,1.0
0,USGS,1.0,0.842008547008547,RandomWeight,10000.0,2.0
0,USGS,1.0,0.9153846153846154,RandomWeight,20000.0,0.0
0,USGS,1.0,0.9230769230769231,RandomWeight,20000.0,1.0
0,USGS,1.0,0.9193162393162393,RandomWeight,20000.0,2.0
0,USGS,1.0,0.860897435897436,RandomWeight,25000.0,0.0
0,USGS,1.0,0.8775213675213676,RandomWeight,25000.0,1.0
0,USGS,1.0,0.9184615384615384,RandomWeight,25000.0,2.0
