,test_set,Recall,Precision,Model,Iteration
0,neill,0.7934921661644444,0.3007038647403057,Zero Shot,
0,neill,0.9588121777567844,0.7817169644114543,Fine Tune,
0,neill,0.9430927047877001,0.6427586882726177,Min Annotation,0.0
0,neill,0.9406928463734975,0.6478240088765246,Min Annotation,1.0
0,neill,0.9411791012745306,0.6460142945380491,Min Annotation,2.0
0,neill,0.9429240321178222,0.6420783380217453,Min Annotation,3.0
0,neill,0.9421685924701454,0.6418701057641385,Min Annotation,4.0
0,neill,0.0,0.0,RandomWeight,0.0
0,neill,0.0,0.0,RandomWeight,1.0
0,neill,0.0,0.0,RandomWeight,2.0
0,neill,0.0,0.0,RandomWeight,3.0
0,neill,0.0,0.0,RandomWeight,4.0
