,test_set,Recall,Precision,Model,Iteration
0,newmexico,0.5149732620320855,0.26159324437272347,Zero Shot,
0,newmexico,0.8493442831678126,0.7305882352941178,Fine Tune,
0,newmexico,0.8283358798064681,0.7122294372294372,Min Annotation,0.0
0,newmexico,0.8283358798064681,0.6905207537560479,Min Annotation,1.0
0,newmexico,0.8283358798064681,0.6706187929717342,Min Annotation,2.0
0,newmexico,0.8283358798064681,0.6742279289338112,Min Annotation,3.0
0,newmexico,0.8283358798064681,0.7737000254647315,Min Annotation,4.0
0,newmexico,0.0,0.0,RandomWeight,0.0
0,newmexico,0.0,0.0,RandomWeight,1.0
0,newmexico,0.0,0.0,RandomWeight,2.0
0,newmexico,0.0,0.0,RandomWeight,3.0
0,newmexico,0.0,0.0,RandomWeight,4.0
