,test_set,Recall,Precision,Model,Iteration
0,pfeifer,0.3216140730905442,0.6551256595237708,Zero Shot,
0,pfeifer,0.5692051995627099,0.7942926680997733,Fine Tune,
0,pfeifer,0.6790564255034891,0.5453710685342906,Min Annotation,0.0
0,pfeifer,0.6701641449670189,0.5456213138945855,Min Annotation,1.0
0,pfeifer,0.6766475243894154,0.5432502540310258,Min Annotation,2.0
0,pfeifer,0.6767355122257661,0.5431459836899584,Min Annotation,3.0
0,pfeifer,0.6754589826130601,0.5440844137046675,Min Annotation,4.0
0,pfeifer,0.0,0.0,RandomWeight,0.0
0,pfeifer,0.0,0.0,RandomWeight,1.0
0,pfeifer,0.0,0.0,RandomWeight,2.0
0,pfeifer,0.0,0.0,RandomWeight,3.0
0,pfeifer,0.0,0.0,RandomWeight,4.0
