,test_set,Recall,Precision,Model,Annotations,Iteration
0,terns,0.8772680885440318,0.7608015731239939,Zero Shot,,
0,terns,0.9226826823182296,0.6971948027369251,Fine Tune,20789.0,
0,terns,0.9095735036287674,0.7023717628981676,Min Annotation,1000.0,0.0
0,terns,0.9109386237605397,0.6996682340973281,Min Annotation,1000.0,1.0
0,terns,0.9213977334070034,0.7074536552933984,Min Annotation,5000.0,0.0
0,terns,0.9205335617828453,0.7130536622021105,Min Annotation,5000.0,1.0
0,terns,0.9192101280958048,0.7186923295876412,Min Annotation,10000.0,0.0
0,terns,0.918394378523669,0.7240184572181155,Min Annotation,10000.0,1.0
0,terns,0.0,0.0,RandomWeight,1000.0,0.0
0,terns,0.0,0.0,RandomWeight,1000.0,1.0
0,terns,0.0,0.0,RandomWeight,5000.0,0.0
0,terns,0.0,0.0,RandomWeight,5000.0,1.0
0,terns,0.0,0.0,RandomWeight,10000.0,0.0
0,terns,0.0,0.0,RandomWeight,10000.0,1.0
